【出場】駅名,【出場】事業者名,【出場】路線名,人数
三ヶ根,東海旅客鉄道,東海道本線,22
三河三谷,東海旅客鉄道,東海道本線,45
三河塩津,東海旅客鉄道,東海道本線,21
三河大塚,東海旅客鉄道,東海道本線,9
三河安城,東海旅客鉄道,東海道新幹線,508
三河豊田,愛知環状鉄道,愛知環状鉄道線,6
下切,東海旅客鉄道,太多線,14
中水野,愛知環状鉄道,愛知環状鉄道線,75
中津川,東海旅客鉄道,中央本線,156
乙川,東海旅客鉄道,武豊線,73
亀崎,東海旅客鉄道,武豊線,146
二川,東海旅客鉄道,東海道本線,19
保見,愛知環状鉄道,愛知環状鉄道線,5
八田,東海旅客鉄道,関西本線,339
八草,愛知環状鉄道,愛知環状鉄道線,2
共和,東海旅客鉄道,東海道本線,1014
刈谷,東海旅客鉄道,東海道本線,3936
加佐登,東海旅客鉄道,関西本線,18
勝川,東海旅客鉄道,中央本線,1974
千種,東海旅客鉄道,中央本線,1731
半田,東海旅客鉄道,武豊線,40
南四日市,東海旅客鉄道,関西本線,27
南大高,東海旅客鉄道,東海道本線,830
古虎渓,東海旅客鉄道,中央本線,5
可児,東海旅客鉄道,太多線,16
各務ヶ原,東海旅客鉄道,高山本線,13
四日市,東海旅客鉄道,関西本線,253
四郷,愛知環状鉄道,愛知環状鉄道線,6
土岐市,東海旅客鉄道,中央本線,211
坂祝,東海旅客鉄道,高山本線,2
垂井,東海旅客鉄道,東海道本線,73
多治見,東海旅客鉄道,中央本線,793
大垣,東海旅客鉄道,東海道本線,1436
大府,東海旅客鉄道,東海道本線,1422
大曽根,東海旅客鉄道,中央本線,3867
大高,東海旅客鉄道,東海道本線,579
姫,東海旅客鉄道,太多線,4
安城,東海旅客鉄道,東海道本線,1092
富田,東海旅客鉄道,関西本線,83
富田浜,東海旅客鉄道,関西本線,36
小坂井,東海旅客鉄道,飯田線,1
小泉,東海旅客鉄道,太多線,29
尾張一宮,東海旅客鉄道,東海道本線,6074
尾張森岡,東海旅客鉄道,武豊線,47
尾頭橋,東海旅客鉄道,東海道本線,1058
山口,愛知環状鉄道,愛知環状鉄道線,21
岐阜,東海旅客鉄道,東海道本線,5400
岡崎,東海旅客鉄道,東海道本線,1775
幸田,東海旅客鉄道,東海道本線,122
弥富,東海旅客鉄道,関西本線,205
恵那,東海旅客鉄道,中央本線,140
愛環梅坪,愛知環状鉄道,愛知環状鉄道線,4
愛知御津,東海旅客鉄道,東海道本線,14
新守山,東海旅客鉄道,中央本線,822
新豊田,愛知環状鉄道,愛知環状鉄道線,2
春日井,東海旅客鉄道,中央本線,1530
春田,東海旅客鉄道,関西本線,828
朝日,東海旅客鉄道,関西本線,99
木曽川,東海旅客鉄道,東海道本線,583
末野原,愛知環状鉄道,愛知環状鉄道線,1
東刈谷,東海旅客鉄道,東海道本線,338
東成岩,東海旅客鉄道,武豊線,28
東浦,東海旅客鉄道,武豊線,76
枇杷島,東海旅客鉄道,東海道本線,1144
根本,東海旅客鉄道,太多線,22
桑名,東海旅客鉄道,関西本線,1106
武並,東海旅客鉄道,中央本線,18
武豊,東海旅客鉄道,武豊線,15
永和,東海旅客鉄道,関西本線,269
河原田,東海旅客鉄道,関西本線,21
河曲,東海旅客鉄道,関西本線,21
津,東海旅客鉄道,紀勢本線,12
清洲,東海旅客鉄道,東海道本線,842
瀬戸口,愛知環状鉄道,愛知環状鉄道線,89
瀬戸市,愛知環状鉄道,愛知環状鉄道線,37
熱田,東海旅客鉄道,東海道本線,453
牛久保,東海旅客鉄道,飯田線,4
瑞浪,東海旅客鉄道,中央本線,164
相見,東海旅客鉄道,東海道本線,79
石浜,東海旅客鉄道,武豊線,103
神領,東海旅客鉄道,中央本線,684
稲沢,東海旅客鉄道,東海道本線,1930
穂積,東海旅客鉄道,東海道本線,682
笠寺,東海旅客鉄道,東海道本線,888
篠原,愛知環状鉄道,愛知環状鉄道線,2
緒川,東海旅客鉄道,武豊線,184
美乃坂本,東海旅客鉄道,中央本線,34
美濃太田,東海旅客鉄道,高山本線,48
美濃川合,東海旅客鉄道,太多線,5
船町,東海旅客鉄道,飯田線,1
蒲郡,東海旅客鉄道,東海道本線,387
蘇原,東海旅客鉄道,高山本線,39
蟹江,東海旅客鉄道,関西本線,843
西小坂井,東海旅客鉄道,東海道本線,11
西岐阜,東海旅客鉄道,東海道本線,701
西岡崎,東海旅客鉄道,東海道本線,116
豊川,東海旅客鉄道,飯田線,14
豊橋,東海旅客鉄道,東海道新幹線,185
貝津,愛知環状鉄道,愛知環状鉄道線,12
逢妻,東海旅客鉄道,東海道本線,236
那加,東海旅客鉄道,高山本線,93
野田新町,東海旅客鉄道,東海道本線,174
金山,東海旅客鉄道,東海道本線,6777
釜戸,東海旅客鉄道,中央本線,9
長島,東海旅客鉄道,関西本線,166
長森,東海旅客鉄道,高山本線,46
関ヶ原,東海旅客鉄道,東海道本線,39
高蔵寺,東海旅客鉄道,中央本線,1464
鵜沼,東海旅客鉄道,高山本線,6
鶴舞,東海旅客鉄道,中央本線,2976
