【出場】駅名,【出場】事業者名,【出場】路線名,人数
三日市,近畿日本鉄道,鈴鹿線,50
中川原,近畿日本鉄道,湯の山線,79
中菰野,近畿日本鉄道,湯の山線,36
久居,近畿日本鉄道,名古屋線,270
伊勢川島,近畿日本鉄道,湯の山線,74
伊勢朝日,近畿日本鉄道,名古屋線,190
伊勢松本,近畿日本鉄道,湯の山線,71
伊勢若松,近畿日本鉄道,名古屋線,81
伏屋,近畿日本鉄道,名古屋線,796
佐古木,近畿日本鉄道,名古屋線,288
北楠,近畿日本鉄道,名古屋線,27
千代崎,近畿日本鉄道,名古屋線,42
千里,近畿日本鉄道,名古屋線,56
南が丘,近畿日本鉄道,名古屋線,66
塩浜,近畿日本鉄道,名古屋線,254
大羽根園,近畿日本鉄道,湯の山線,27
富吉,近畿日本鉄道,名古屋線,598
川原町,近畿日本鉄道,名古屋線,85
川越富洲原,近畿日本鉄道,名古屋線,350
平田町,近畿日本鉄道,鈴鹿線,188
戸田,近畿日本鉄道,名古屋線,594
新正,近畿日本鉄道,名古屋線,46
柳,近畿日本鉄道,鈴鹿線,4
桃園,近畿日本鉄道,名古屋線,3
桑名,近畿日本鉄道,名古屋線,1567
桜,近畿日本鉄道,湯の山線,51
楠,近畿日本鉄道,名古屋線,44
江戸橋,近畿日本鉄道,名古屋線,183
津,近畿日本鉄道,名古屋線,951
津新町,近畿日本鉄道,名古屋線,222
海山道,近畿日本鉄道,名古屋線,70
湯の山温泉,近畿日本鉄道,湯の山線,22
烏森,近畿日本鉄道,名古屋線,978
白塚,近畿日本鉄道,名古屋線,40
白子,近畿日本鉄道,名古屋線,563
益生,近畿日本鉄道,名古屋線,126
磯山,近畿日本鉄道,名古屋線,35
箕田,近畿日本鉄道,名古屋線,16
米野,近畿日本鉄道,名古屋線,154
菰野,近畿日本鉄道,湯の山線,53
豊津上野,近畿日本鉄道,名古屋線,21
近鉄八田,近畿日本鉄道,名古屋線,204
近鉄名古屋,近畿日本鉄道,名古屋線,52
近鉄四日市,近畿日本鉄道,名古屋線,2861
近鉄富田,近畿日本鉄道,名古屋線,801
近鉄弥富,近畿日本鉄道,名古屋線,1626
近鉄蟹江,近畿日本鉄道,名古屋線,1895
近鉄長島,近畿日本鉄道,名古屋線,254
鈴鹿市,近畿日本鉄道,鈴鹿線,68
長太ノ浦,近畿日本鉄道,名古屋線,24
阿倉川,近畿日本鉄道,名古屋線,167
霞ヶ浦,近畿日本鉄道,名古屋線,156
高田本山,近畿日本鉄道,名古屋線,30
高角,近畿日本鉄道,湯の山線,30
黄金,近畿日本鉄道,名古屋線,649
鼓ヶ浦,近畿日本鉄道,名古屋線,25
