【出場】駅名,【出場】事業者名,【出場】路線名,人数
いりなか,名古屋市交通局,鶴舞線,1
りんくう常滑,名古屋鉄道,空港線,44
一ツ木,名古屋鉄道,名古屋本線,149
七宝,名古屋鉄道,津島線,535
三柿野,名古屋鉄道,各務原線,92
三河八橋,名古屋鉄道,三河線,93
三河知立,名古屋鉄道,三河線,9
三河高浜,名古屋鉄道,三河線,45
上ゲ,名古屋鉄道,河和線,33
上丸渕,名古屋鉄道,尾西線,32
上前津,名古屋市交通局,名城線,1
上小田井,名古屋市交通局,鶴舞線,2
上小田井,名古屋鉄道,犬山線,2853
上挙母,名古屋鉄道,三河線,66
上横須賀,名古屋鉄道,西尾線,28
上野間,名古屋鉄道,知多新線,17
上飯田,名古屋市交通局,上飯田線,9
下小田井,名古屋鉄道,犬山線,503
不破一色,名古屋鉄道,竹鼻線,27
中京競馬場前,名古屋鉄道,名古屋本線,279
中小田井,名古屋鉄道,犬山線,578
中部国際空港,名古屋鉄道,空港線,1028
丸の内,名古屋市交通局,鶴舞線,2
丸ノ内,名古屋鉄道,名古屋本線,155
丸渕,名古屋鉄道,尾西線,29
久屋大通,名古屋市交通局,名城線,6
二ツ杁,名古屋鉄道,名古屋本線,333
二十軒,名古屋鉄道,各務原線,20
二子,名古屋鉄道,尾西線,44
五ノ三,名古屋鉄道,尾西線,11
今伊勢,名古屋鉄道,名古屋本線,149
今池,名古屋市交通局,東山線,1
伊奈,名古屋鉄道,名古屋本線,52
伏見,名古屋市交通局,東山線,7
住吉町,名古屋鉄道,河和線,166
佐屋,名古屋鉄道,尾西線,210
八幡,名古屋鉄道,豊川線,35
八幡新田,名古屋鉄道,河和線,80
八田,名古屋市交通局,東山線,1
六軒,名古屋鉄道,各務原線,58
六輪,名古屋鉄道,尾西線,49
内海,名古屋鉄道,知多新線,36
切通,名古屋鉄道,各務原線,29
刈谷,名古屋鉄道,三河線,18
刈谷市,名古屋鉄道,三河線,22
前後,名古屋鉄道,名古屋本線,1122
加納,名古屋鉄道,名古屋本線,17
勝幡,名古屋鉄道,津島線,549
北安城,名古屋鉄道,西尾線,8
北新川,名古屋鉄道,三河線,29
半田口,名古屋鉄道,河和線,68
南加木屋,名古屋鉄道,河和線,401
南安城,名古屋鉄道,西尾線,49
南宿,名古屋鉄道,竹鼻線,11
南桜井,名古屋鉄道,西尾線,34
古見,名古屋鉄道,常滑線,91
可児川,名古屋鉄道,広見線,83
各務原市役所前,名古屋鉄道,各務原線,80
吉浜,名古屋鉄道,三河線,12
吉良吉田,名古屋鉄道,蒲郡線,49
名和,名古屋鉄道,常滑線,259
名城公園,名古屋市交通局,名城線,1
名鉄一宮,名古屋鉄道,名古屋本線,609
名鉄名古屋,名古屋鉄道,名古屋本線,165
名鉄岐阜,名古屋鉄道,名古屋本線,447
名電各務原,名古屋鉄道,各務原線,67
名電山中,名古屋鉄道,名古屋本線,10
名電赤坂,名古屋鉄道,名古屋本線,22
名電長沢,名古屋鉄道,名古屋本線,7
味岡,名古屋鉄道,小牧線,22
呼続,名古屋鉄道,名古屋本線,182
善師野,名古屋鉄道,広見線,33
国府,名古屋鉄道,名古屋本線,229
国府宮,名古屋鉄道,名古屋本線,1720
土橋,名古屋鉄道,三河線,259
坂部,名古屋鉄道,河和線,27
堀内公園,名古屋鉄道,西尾線,13
堀田,名古屋鉄道,名古屋本線,1006
多屋,名古屋鉄道,常滑線,30
大同町,名古屋鉄道,常滑線,529
大山寺,名古屋鉄道,犬山線,151
大江,名古屋鉄道,常滑線,425
大里,名古屋鉄道,名古屋本線,376
大野町,名古屋鉄道,常滑線,74
太田川,名古屋鉄道,常滑線,1511
奥田,名古屋鉄道,名古屋本線,244
奥町,名古屋鉄道,尾西線,197
妙興寺,名古屋鉄道,名古屋本線,291
宇頭,名古屋鉄道,名古屋本線,72
富士松,名古屋鉄道,名古屋本線,127
富岡前,名古屋鉄道,広見線,28
富貴,名古屋鉄道,河和線,105
寺本,名古屋鉄道,常滑線,146
小垣江,名古屋鉄道,三河線,16
小牧,名古屋鉄道,小牧線,10
小牧原,名古屋鉄道,小牧線,14
小牧口,名古屋鉄道,小牧線,3
小田渕,名古屋鉄道,名古屋本線,10
尾張横須賀,名古屋鉄道,常滑線,258
山崎,名古屋鉄道,尾西線,35
山王,名古屋鉄道,名古屋本線,958
岐南,名古屋鉄道,名古屋本線,96
岡崎公園前,名古屋鉄道,名古屋本線,81
岩倉,名古屋鉄道,犬山線,2411
島氏永,名古屋鉄道,名古屋本線,89
左京山,名古屋鉄道,名古屋本線,185
巽ケ丘,名古屋鉄道,河和線,307
市役所,名古屋市交通局,名城線,3
市民公園前,名古屋鉄道,各務原線,6
布袋,名古屋鉄道,犬山線,755
常滑,名古屋鉄道,常滑線,581
平安通,名古屋市交通局,名城線,16
平戸橋,名古屋鉄道,三河線,9
平針,名古屋市交通局,鶴舞線,2
庄内緑地公園,名古屋市交通局,鶴舞線,2
庄内通,名古屋市交通局,鶴舞線,6
弥富,名古屋鉄道,尾西線,2
御嵩,名古屋鉄道,広見線,4
御油,名古屋鉄道,名古屋本線,11
徳重・名古屋芸大,名古屋鉄道,犬山線,661
成岩,名古屋鉄道,河和線,88
手力,名古屋鉄道,各務原線,22
扶桑,名古屋鉄道,犬山線,488
新加納,名古屋鉄道,各務原線,37
新可児,名古屋鉄道,広見線,185
新安城,名古屋鉄道,名古屋本線,870
新川橋,名古屋鉄道,名古屋本線,127
新川町,名古屋鉄道,三河線,12
新日鉄前,名古屋鉄道,常滑線,84
新木曽川,名古屋鉄道,名古屋本線,273
新清洲,名古屋鉄道,名古屋本線,1037
新羽島,名古屋鉄道,羽島線,57
新舞子,名古屋鉄道,常滑線,301
新那加,名古屋鉄道,各務原線,23
新鵜沼,名古屋鉄道,犬山線,805
日本ライン今渡,名古屋鉄道,広見線,150
日比野,名古屋鉄道,尾西線,203
日進,名古屋鉄道,豊田線,1
日長,名古屋鉄道,常滑線,13
明智,名古屋鉄道,広見線,5
有松,名古屋鉄道,名古屋本線,878
朝倉,名古屋鉄道,常滑線,428
