【出場】駅名,【出場】事業者名,【出場】路線名,人数
いりなか,名古屋市交通局,鶴舞線,348
ナゴヤドーム前矢田,名古屋市交通局,名城線,217
一社,名古屋市交通局,東山線,1610
三好ケ丘,名古屋鉄道,豊田線,221
三河八橋,名古屋鉄道,三河線,1
三河知立,名古屋鉄道,三河線,1
上前津,名古屋市交通局,名城線,1341
上小田井,名古屋市交通局,鶴舞線,196
上挙母,名古屋鉄道,三河線,11
上社,名古屋市交通局,東山線,1163
上豊田,名古屋鉄道,豊田線,71
上飯田,名古屋市交通局,上飯田線,167
中小田井,名古屋鉄道,犬山線,2
中村公園,名古屋市交通局,東山線,2280
中村区役所,名古屋市交通局,桜通線,1352
中村日赤,名古屋市交通局,東山線,1349
丸の内,名古屋市交通局,鶴舞線,5624
久屋大通,名古屋市交通局,名城線,6555
亀島,名古屋市交通局,東山線,894
今池,名古屋市交通局,東山線,3096
伏見,名古屋市交通局,東山線,12432
伝馬町,名古屋市交通局,名城線,81
八事,名古屋市交通局,名城線,897
八事日赤,名古屋市交通局,名城線,270
八田,名古屋市交通局,東山線,875
六番町,名古屋市交通局,名港線,165
六軒,名古屋鉄道,各務原線,1
千種,名古屋市交通局,東山線,1043
原,名古屋市交通局,鶴舞線,655
可児川,名古屋鉄道,広見線,2
名古屋,名古屋市交通局,東山線,79
名古屋大学,名古屋市交通局,名城線,633
名古屋港,名古屋市交通局,名港線,153
名城公園,名古屋市交通局,名城線,414
吹上,名古屋市交通局,桜通線,2278
味岡,名古屋鉄道,小牧線,76
味美,名古屋鉄道,小牧線,84
味鋺,名古屋鉄道,小牧線,101
国際センター,名古屋市交通局,桜通線,382
土橋,名古屋鉄道,三河線,6
堀田,名古屋市交通局,名城線,62
塩釜口,名古屋市交通局,鶴舞線,914
大山寺,名古屋鉄道,犬山線,1
大曽根,名古屋市交通局,名城線,82
大須観音,名古屋市交通局,鶴舞線,1457
奥町,名古屋鉄道,尾西線,1
妙音通,名古屋市交通局,名城線,33
小牧,名古屋鉄道,小牧線,288
小牧原,名古屋鉄道,小牧線,53
小牧口,名古屋鉄道,小牧線,112
山王,名古屋鉄道,名古屋本線,1
岩倉,名古屋鉄道,犬山線,7
岩塚,名古屋市交通局,東山線,1350
川名,名古屋市交通局,鶴舞線,474
市役所,名古屋市交通局,名城線,1501
布袋,名古屋鉄道,犬山線,1
平安通,名古屋市交通局,名城線,295
平戸橋,名古屋鉄道,三河線,5
平針,名古屋市交通局,鶴舞線,563
庄内緑地公園,名古屋市交通局,鶴舞線,321
庄内通,名古屋市交通局,鶴舞線,642
御器所,名古屋市交通局,鶴舞線,1304
徳重,名古屋市交通局,桜通線,972
徳重・名古屋芸大,名古屋鉄道,犬山線,7
志賀本通,名古屋市交通局,名城線,645
新可児,名古屋鉄道,広見線,1
新栄町,名古屋市交通局,東山線,3305
新瑞橋,名古屋市交通局,名城線,777
新鵜沼,名古屋鉄道,犬山線,1
日比野,名古屋市交通局,名港線,343
日進,名古屋鉄道,豊田線,305
星ヶ丘,名古屋市交通局,東山線,2504
春日井,名古屋鉄道,小牧線,50
本山,名古屋市交通局,東山線,1576
本郷,名古屋市交通局,東山線,1184
本陣,名古屋市交通局,東山線,1734
東別院,名古屋市交通局,名城線,275
東山公園,名古屋市交通局,東山線,920
東海通,名古屋市交通局,名港線,142
柏森,名古屋鉄道,犬山線,4
栄,名古屋市交通局,東山線,21351
桜山,名古屋市交通局,桜通線,1414
桜本町,名古屋市交通局,桜通線,186
梅坪,名古屋鉄道,三河線,142
植田,名古屋市交通局,鶴舞線,566
楽田,名古屋鉄道,小牧線,5
江南,名古屋鉄道,犬山線,1
池下,名古屋市交通局,東山線,1598
浄心,名古屋市交通局,鶴舞線,422
浄水,名古屋鉄道,豊田線,229
浅間町,名古屋市交通局,鶴舞線,448
港区役所,名古屋市交通局,名港線,120
牛山,名古屋鉄道,小牧線,63
犬山,名古屋鉄道,小牧線,6
犬山口,名古屋鉄道,犬山線,1
猿投,名古屋鉄道,三河線,26
瑞穂区役所,名古屋市交通局,桜通線,655
瑞穂運動場東,名古屋市交通局,名城線,231
瑞穂運動場西,名古屋市交通局,桜通線,331
田県神社前,名古屋鉄道,小牧線,40
相生山,名古屋市交通局,桜通線,446
矢場町,名古屋市交通局,名城線,1833
砂田橋,名古屋市交通局,名城線,196
神宮西,名古屋市交通局,名城線,66
神沢,名古屋市交通局,桜通線,255
竹村,名古屋鉄道,三河線,2
築地口,名古屋市交通局,名港線,70
米野木,名古屋鉄道,豊田線,246
総合リハビリセンター,名古屋市交通局,名城線,158
羽黒,名古屋鉄道,小牧線,8
自由ヶ丘,名古屋市交通局,名城線,336
若林,名古屋鉄道,三河線,1
茶屋ヶ坂,名古屋市交通局,名城線,399
荒畑,名古屋市交通局,鶴舞線,229
藤が丘,名古屋市交通局,東山線,3890
西春,名古屋鉄道,犬山線,5
西高蔵,名古屋市交通局,名城線,110
覚王山,名古屋市交通局,東山線,1232
豊田市,名古屋鉄道,三河線,551
赤池,名古屋市交通局,鶴舞線,1128
越戸,名古屋鉄道,三河線,15
車道,名古屋市交通局,桜通線,1125
野並,名古屋市交通局,桜通線,556
金山,名古屋市交通局,名城線,152
間内,名古屋鉄道,小牧線,66
高岳,名古屋市交通局,桜通線,2622
高畑,名古屋市交通局,東山線,1584
鳴子北,名古屋市交通局,桜通線,352
鶴舞,名古屋市交通局,鶴舞線,106
鶴里,名古屋市交通局,桜通線,217
黒川,名古屋市交通局,名城線,1075
黒笹,名古屋鉄道,豊田線,138
